CO_PROCEDIMENTO,Descricao,ValorTUNEP
409040150,ORQUIECTOMIA COM ESVAZIAMENTO GANGLIONAR,"487,37"
409040070,EXERESE DE CISTO DO EPIDIDIMO,"488,27"
409040240,VASECTOMIA PARCIAL OU COMPLETA,"372,28"
409050032,HIPOSPADIA ( TEMPO),"1,00"
409030023,PROSTECTOMIA SUPRA PUBICA,"693,75"
409030040,RESSECCAO ENDOSCOPICA DE PROSTATA,"520,45"
409010200,NEFRECTOMIA PARCIAL,"1.463,98"
409010561,URETEROLITOTOMIA,"1.130,37"
409010065,CISTOLITOTOMIA,"864,41"
409020028,INCISAO E DRENAGEM DE FLEIMAO URINOSO,"401,92"
409040134,ORQUIDOPEXIA UNILATERAL,"693,11"
409050040,HIPOSPADIA ( TEMPOS),"2,00"
409010219,NEFRECTOMIA TOTAL,"1.571,68"
409010553,URETEROENTEROSTOMIA,"2.115,35"
409010073,CISTOPLASTIA (EXTROFIA VESICAL),"2.193,22"
409020087,RESSECCAO DA CARUNCULA URETRAL,"400,24"
409040126,ORQUIDOPEXIA BILATERAL,"741,75"
409010227,NEFROLITOTOMIA,"1.249,25"
409010570,URETEROPLASTIA,"1.280,77"
409010090,CISTOSTOMIA,"650,67"
409020095,RESSECCAO DE PROLAPSO DA MUCOSA DA URETRA,"400,24"
409050024,EPISPADIA,"1.169,03"
409010251,NEFROPIELOSTOMIA,"1.327,75"
409010588,URETEROSTOMIA CUTANEA,"1.280,77"
409010081,CISTORRAFIA,"876,15"
409020109,RESSECCAO E FECHAMENTO DE FISTULA URETRAL,"713,99"
409040185,REPARACAO E OPERACAO PLASTICA DO TESTICULO,"741,42"
409010260,NEFRORRAFIA,"1.181,50"
409010375,RESSECCAO ENDOSCOPICA DA EXTREMIDADE DISTAL DO UR,"1.261,30"
409070254,TRATAMENTO CIRURGICO DE FISTULA VESICO VAGINAL,"2.193,22"
409020168,URETROSTOMIA PERINEAL OU CUTANEA,"646,06"
409040223,TRATAMENTO CIRURGICO DA TORCAO DO TESTICULO OU DO,"741,42"
207010013,NEFROSTOMIA SEM OU COM DRENAGEM,"1.081,38"
409010286,NEFROSTOMIA SEM OU COM DRENAGEM,"1.081,38"
207030030,TRATAMENTO CIRURGICO DE FISTULA VESICO UTERINA,"1.221,21"
409060283,TRATAMENTO CIRURGICO DE FISTULA VESICO UTERINA,"1.221,21"
207010030,URETROTOMIA INTERNA,"678,06"
409020176,URETROTOMIA INTERNA,"678,06"
207010048,RETIRADA DE CALCULO DE PELVE RENAL COM CATETER,"768,75"
409010146,RETIRADA DE CALCULO DE PELVE RENAL COM CATETER,"768,75"
207010021,ORQUIECTOMIA BILATERAL,"487,37"
409040142,ORQUIECTOMIA BILATERAL,"487,37"
207010064,TRATAMENTO CIRURGICO DO PRIAPRISMO,"928,88"
207010072,TRATAMENTO CIRURGICO DO PRIAPRISMO,"928,88"
409050113,TRATAMENTO CIRURGICO DO PRIAPRISMO,"928,88"
207020019,NEFROURETERECTOMIA TOTAL,"1.654,79"
409010308,NEFROURETERECTOMIA TOTAL,"1.654,79"
409010170,"COLOCACAO DE CATETER DUPLO ""J"" ","1.019,48"
409010502,TRATAMENTO CIRURGICO DO REFLUXO VESICO URETRAL,"1.729,60"
409020168,URETROSTOMIA EXTERNA,"657,75"
409010316,PIELOLITOTOMIA,"1.385,10"
409010391,RETIRADA PERCUTANEA DO CALCULO URETERAL COM CATET,"1.130,37"
409010430,TRATAMENTO CIRURGICO DA CISTOCELE,"677,70"
409010324,PIELOPLASTIA,"1.288,99"
409010120,DIVERTICULECTOMIA VESICAL,"1.100,93"
409020125,URETROPLASTIA (RESSECCAO DE CORDA),"467,20"
406020191,LINFADENECTOMIA PELVICA,"1.512,91"
409010332,PIELOSTOMIA,"1.110,61"
409010065,EXTRACAO DE CORPO ESTRANHO DA BEXIGA,"825,27"
409020133,URETEROPLASTIA AUTOGENA,"920,45"
409010340,PIELOTOMIA,"1.222,10"
409010456,TRATAMENTO CIRURGICO DA FISTULA VESICO ENTERICA,"1.537,11"
409020141,URETEROPLASTIA HETEROGENEA,"1.050,71"
409010405,SINFISIOTOMIA DO RIM EM FERRADURA (NEFROPLASTIA),"1.397,09"
409010499,TRATAMENTO CIRURGICO DA INCONTINENCIA URINARIA VIA A,"1.187,47"
409020150,URETRORRAFIA,"664,48"
409010014,CAPSULECTOMIA RENAL,"1.077,90"
409020079,MEATOTOMIA,"391,87"
409020052,LIGADURA OU SECCAO DE VASOS ABERRANTES,"983,01"
409010367,RESSECCAO DO COLO VESICAL A CEU ABERTO,"1.139,30"
409010138,DRENAGEM DE ABSCESSO RENAL OU PERI-RENAL,"1.037,04"
409010367,RESSECCAO DO TUMOR VESICAL A CEU ABERTO,"1.370,62"
409010464,TRATAMENTO CIRURGICO DA FISTULA VESICO RETAL,"1.594,43"
409020044,INJECAO DE GORDURA OU TEFLON PERIURETRAL,"631,79"
409010235,NEFROLITOTOMIA PERCUTANEA,"2.270,90"
409010189,LITOTRIPSIA,"800,00"
409010294,NEFROSTOMIA PERCUTANEA,"794,82"
409010383,RESSECCAO ENDOSCOPICA DE TUMOR VESICAL,"1.033,95"
409010383,RESSECCAO ENDOSCOPICA DE POLIPOS VESICAIS,"557,14"
409010413,TRATAMENTO CIRURGICO DA BEXIGA NEUROGENICA,"1.277,55"
409010480,CIRURGIA PARA HEMORRAGIA VESICAL (FORMOLIZACAO DA B,"1.329,33"
416010016,AMPUTACAO DO PENIS,"1.141,59"
416010164,RESSECCAO DE TUMOR UROTELIAL MULTICENTRICO E SINCR,"4.651,40"
416010121,PROSTATECTOMIA,"4.497,50"
416010180,URETENOCISTONEOSTOMIA,"4.491,71"
416010024,CISTECTOMIA TOTAL E DERIVACAO EM UM SO TEMPO,"4.739,53"
416010130,PROSTATOVESICULECTOMIA,"4.799,95"
416010113,ORQUIECTOMIA UNILATERAL,"741,83"
416010040,CISTOENTEROPLASTIA,"4.764,34"
416010075,NEFRECTOMIA TOTAL,"1.589,56"
416010199,URETEROENTEROSTOMIA,"4.609,41"
416010091,NEFROURETERECTOMIA TOTAL,"1.636,28"
416010172,RESSECCAO ENDOSCOPICA DE TUMOR VESICAL,"1.020,45"
503020028,NEFROURETETECTOMIA UNILATERAL PARA TRANSPLANTE,"3.716,30"
505020106,TRANSPLANTE RENAL RECEPTOR (DOADOR VIVO),"14.828,17"
505020092,TRANSPLANTE RENAL RECEPTOR - DOADOR CADAVER,"19.272,75"
406020159,EXERESE DE GANGLIO LINFATICO,"342,70"
406020116,INCISAO E DRENAGEM DE GANGLIO LINFATICO,"256,80"
406020221,LINFADENECTOMIA RADICAL AXILAR UNILATERAL,"1.797,94"
406020213,LINFADENECTOMIA RADICAL AXILAR BILATERAL,"1.835,25"
406020264,LINFADENECTOMIA RADICAL INGUINAL UNILATERAL,"1.156,24"
406020256,LINFADENECTOMIA RADICAL INGUINAL BILATERAL,"1.448,25"
406020248,LINFADENECTOMIA RADICAL CERVICAL UNILATERAL,"814,64"
406020230,LINFADENECTOMIA RADICAL CERVICAL BILATERAL,"747,59"
406020272,LINFADENECTOMIA RADICAL VULVAR,"1.156,24"
406020108,DISSECCAO RADICAL DO PESCOCO,"1.835,25"
201010550,BIOPSIA PRE-ESCALENICA,"365,69"
406020280,LINFADENECTOMIA RETROPERITONIAL,"1.651,81"
416020020,LINFADENECTOMIA PELVICA,"1.392,85"
415010012,CIRURGIA MULTIPLA EM PACIENTE COM LESAO LABIO PALATA,"0,00"
404020143,GLOSSECTOMIA PARCIAL,"857,10"
407010270,CARDIOPLASTIA,"2.357,64"
407030018,ANASTOMOSE BILEO DIGESTIVA,"2.607,57"
407030204,PANCREATO DUODENECTOMIA,"3.263,89"
407010289,DIVERTICULECTOMIA DO ESOFAGO,"1.569,34"
407010017,FECHAMENTO DE FISTULA GASTRO ENTERICA (DESGASTREC,"2.217,82"
407020012,AMPUTACAO ABDOMINO PERINEAL DO RETO (COMPLETA),"2.936,88"
407020322,ESFINCTEROPLASTIA ANAL,"558,54"
407030212,PANCREATO ENTEROSTOMIA,"2.198,55"
407040021,DRENAGEM DE ABSCESSO SUBFRENICO,"1.383,65"
404020070,EXCISAO DE GLANDULA SUBMAXILAR,"789,92"
407010033,ESOFAGECTOMIA,"2.357,64"
407010041,ESOFAGECTOMIA,"2.357,64"
407020330,PROCTOCOLECTOMIA,"3.110,47"
407020217,ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA AN,"558,54"
407030042,COLECISTOSTOMIA,"1.092,78"
407030220,PANCREATOTOMIA PARA DRENAGEM,"1.679,25"
407030123,ESPLENECTOMIA,"1.644,01"
407020292,HERNIORRAFIA COM RESSECCAO INTESTINAL (ESTRANGULA,"1.184,60"
404020089,EXCISAO DE RANULA,"342,85"
407010068,ESOFAGOCOLOPLASTIA,"2.381,03"
407010130,GASTRECTOMIA SUBTOTAL COM OU SEM VAGOTOMIA,"1.536,55"
407020020,AMPUTACAO DO RETO POR PROCIDENCIA,"2.248,05"
407020322,EXERESE DE MALFORMACAO ANAL,"378,75"
407030026,COLECISTECTOMIA,"1.396,45"
407030182,PANCREATECTOMIA PARCIAL,"1.911,98"
407040145,HERNIORRAFIA SEM RESSECCAO INTESTINAL (ESTRANGULAD,"910,04"
404020275,RESSECCAO DE LESAO MALIGNA COM ESVAZIAMENTO GANG,"1.838,18"
404010121,EXCISAO DE TUMOR DE GLANDULA PAROTIDA,"936,10"
407010076,ESOFAGOGASTRECTOMIA,"2.357,64"
407010149,GASTRECTOMIA TOTAL,"1.883,07"
407020039,APENDICECTOMIA,"1.097,86"
407030050,COLEDOCOPLASTIA,"1.622,18"
407030247,TRATAMENTO CIRURGICO DE CISTOS PANCREATICOS,"2.013,87"
407040102,HERNIORRAFIA CRURAL (UNILATERAL),"725,17"
407010076,ESOFAGOPLASTIA (QUALQUER TECNICA),"2.070,74"
407010190,GASTRORRAFIA,"1.075,94"
407020063,COLECTOMIA PARCIAL (HEMICOLECTOMIA),"2.036,28"
407030069,COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA,"1.317,15"
407040099,HERNIORRAFIA CRURAL (BILATERAL),"964,92"
404020070,EXCISAO DE GLANDULA SALIVAR,"936,10"
407010092,ESOFAGORRAFIA CERVICAL,"1.342,06"
407010165,GASTROENTEROANASTOMOSE,"1.497,98"
407020071,COLECTOMIA TOTAL,"2.290,28"
407020276,FISTULECTOMIA OU FISTULOTOMIA ANAL,"564,85"
407030069,COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA,"1.317,15"
407040056,HERNIORRAFIA DIAFRAGMATICA (VIA TORACICA),"1.595,54"
407010106,ESOFAGORRAFIA TORACICA,"1.569,34"
407020187,ENTEROANASTOMOSE (QUALQUER SEGMENTO),"1.380,67"
407020136,INCISAO E DRENAGEM DE ABSCESSO ANAL,"329,54"
407040048,HERNIORRAFIA DIAFRAGMATICA (VIA ABDOMINAL),"1.341,24"
404020046,FECHAMENTO DE FISTULA SALIVAR COM RETALHO,"870,98"
407010211,GASTROSTOMIA,"1.110,22"
407020195,ENTEROPEXIA (QUALQUER SEGMENTO),"1.299,69"
201010208,BIOPSIA DO FIGADO POR LAPAROTOMIA,"362,20"
407040064,HERNIORRAFIA EPIGASTRICA,"725,17"
407020209,ENTERORRAFIA (QUALQUER SEGMENTO),"1.299,69"
407020322,PLASTICA ANAL EXTERNA,"530,71"
407030131,HEPATECTOMIA PARCIAL,"1.912,25"
407030190,PANCREATECTOMIA VIDEOLAPAROSCOPICA,"1.792,35"
407040080,HERNIORRAFIA INCISIONAL,"1.057,18"
407010238,PILOROPLASTIA COM OU SEM VAGOTOMIA,"1.288,03"
407030093,COLOTOMIA,"1.474,67"
407030107,HEPATOTOMIA E DRENAGEM DE ABSCESSO OU CISTO,"1.419,05"
407030166,HEPATOTOMIA E DRENAGEM DE ABSCESSO OU CISTO,"1.419,05"
407030115,PANCREATOMIA PARA DRENAGEM POR VIDEOLAPAROSCOPIA,"1.559,62"
407040102,HERNIORRAFIA INGUINAL (UNILATERAL),"752,62"
407010343,VAGOTOMIA SELETIVA,"1.497,98"
407020209,ENTEROTOMIA (QUALQUER SEGMENTO),"1.299,69"
407030140,HEPATORRAFIA,"1.419,50"
407030158,HEPATORRAFIA,"1.419,50"
407040099,HERNIORRAFIA INGUINAL (BILATERAL),"964,92"
407010351,VAGOTOMIA SUPER SELETIVA,"1.498,38"
407020233,EXCISAO DE LESAO INTESTINAL OU MESENTERICA LOCALIZA,"1.341,98"
407020454,TRATAMENTO CIRURGICO DA IMPERFURACAO MEMBRANOSA,"564,85"
407030174,MARSUPIALIZACAO DE ABSCESSO OU CISTO,"1.688,40"
407040226,HERNIORRAFIA LOMBAR,"910,04"
407010114,ESOFAGOSTOMIA,"971,69"
407020462,TRATAMENTO CIRURGICO DA MA ROTACAO INTESTINAL,"1.513,12"
407020470,TRATAMENTO CIRURGICO DO PROLAPSO ANAL MUCOSO,"564,85"
407040110,HERNIORRAFIA RECIDIVANTE,"964,92"
407010335,TRATAMENTO CIRURGICO DO MEGA-ESOFAGO,"2.357,64"
407010203,GASTRORRAFIA VIDEOLAPAROSCOPICA,"1.305,52"
407020306,JEJUNOSTOMIA,"1.158,39"
407030034,COLECISTECTOMIA VIDEOLAPAROSCOPICA,"1.626,01"
407040129,HERNIORRAFIA UMBILICAL,"711,47"
407010300,TRATAMENTO CIRURGICO DE VARIZES ESOFAGIANAS,"1.681,78"
407010220,GASTROSTOMIA VIDEOLAPAROSCOPICA,"1.339,80"
407020225,EXCISAO DE TUMOR RETAL PER ANUS,"459,82"
407020225,EXCISAO DE LESAO ANAL,"217,47"
407030077,COLEDOCOTOMIA VIDEOLAPAROSCOPICA,"1.546,71"
407040161,LAPAROTOMIA EXPLORADORA,"1.127,64"
407010084,ESOFAGOPLASTIA COM COLOCACAO DE PROTESE OU TUBO,"2.070,74"
407040269,VAGOTOMIA VIDEOLAPAROSCOPICA,"1.552,95"
407020241,FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO),"1.247,58"
407020110,CRIPTECTOMIA UNI OU MULTIPLA,"378,75"
407010157,GASTRECTOMIA VIDEOLAPAROSCOPICA,"1.938,03"
407020250,FECHAMENTO DE FISTULA COLICA,"1.380,67"
407020284,EXCISAO DE PAPILA HEMORROIDARIA,"132,56"
407020268,FECHAMENTO DE FISTULA RETAL,"707,47"
407010050,ESOFAGECTOMIA VIDEOLAPAROSCOPICA,"1.925,16"
407010297,HERNIOPLASTIA HIATAL (CARDIOPLASTIA) VIDEOLAPAROSCO,"1.545,01"
407020179,ENTERECTOMIA,"1.332,98"
407040234,RESSECCAO DO EPIPLOM,"1.238,20"
407020403,RETOSSIGMOIDECTOMIA ABDOMINAL,"1.991,01"
407020470,OPERACAO DE THIERCH,"530,52"
407040242,RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTA,"910,04"
407020101,COLOSTOMIA,"1.158,39"
407020144,INCISAO E DRENAGEM DE ABSCESSO ISQUIORRETAL,"341,81"
407040226,REPARACAO OUTRAS HERNIAS (INCLUI HERNIORRAFIA MUSC,"752,62"
407040188,LIBERACAO DE ADERENCIAS INTESTINAIS,"1.125,49"
407020365,REDUCAO CIRURGICA DE VOLVO POR LAPAROTOMIA,"1.158,39"
407040137,HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA,"1.184,65"
407020411,RETOSSIGMOIDECTOMIA ABDOMINO PERINEAL,"1.991,01"
407020381,RETIRADA DE FECALOMA,"417,53"
407040153,HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA,"941,02"
407020306,ILEOSTOMIAS,"1.158,39"
407020284,TRATAMENTO CIRURGICO DA TROMBOSE HEMORROIDARIA E,"313,48"
407040072,HERNIORRAFIA EPIGASTRICA VIDEOLAPAROSCOPICA,"954,72"
407020446,TRATAMENTO CIRURGICO DO ILEO MECONIAL,"1.444,98"
407040170,LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/O,"1.422,78"
407040250,TRATAMENTO CIRURGICO DA PERITONITE MECONIAL,"1.444,98"
407020152,DRENAGEM DE HEMATOMA OU ABSCESSO RETRO RETAL,"1.193,22"
407020284,HEMORROIDECTOMIA,"564,85"
407040030,DRENAGEM DE HEMATOMA OU ABSCESSO PRE-PERITONEAL,"1.193,22"
407040200,PERITONIOSTOMIA COM TELA INORGANICA,"2.030,04"
407040013,DRENAGEM DE ABSCESSO PELVICO,"1.383,65"
407020438,TRATAMENTO CIRURGICO DE AUSENCIA DO RETO (OP. ABDO,"1.984,20"
407020098,COLORRAFIA POR VIA ABDOMINAL,"1.300,08"
407020349,PROCTOPEXIA ABDOMINAL POR PROCIDENCIA DO RETO,"1.192,95"
303110112,DIVERTICULECTOMIA DOS INTESTINOS,"1.125,49"
407020250,CECOPEXIA,"1.299,69"
407020250,SIGMOIDOPEXIA,"1.299,69"
407020225,EXCISAO E DRENAGEM DE ABSCESSO SUB MUCOSO DO RETO,"417,53"
407020357,PROCTOPLASTIA E PROCTORRAFIA POR VIA PERINEAL,"707,66"
407020047,APENDICECTOMIA VIDEOLAPAROSCOPICA,"1.193,05"
407020420,TRATAMENTO CIRURGICO DA ATRESIA CONGENITA ANO RETA,"378,75"
407020306,ENTERORRAFIA VIDEOLAPAROSCOPICA,"1.354,63"
407020420,TRATAMENTO CIRURGICO DE OUTRAS ANOMALIAS CONGENIT,"378,75"
407020306,ENTERECTOMIA VIDEOLAPAROSCOPICA,"1.354,63"
407020101,COLOSTOMIA VIDEOLAPAROSCOPICA,"1.387,95"
407020306,JEJUNOSTOMIA VIDEOLAPAROSCOPICA,"1.387,95"
407020306,ILEOSTOMIAS VIDEOLAPAROSCOPICA,"1.387,95"
407020080,COLECTOMIA VIDEOLAPAROSCOPICA,"1.996,08"
416030068,GLOSSECTOMIA PARCIAL,"1.044,17"
416040012,ANASTOMOSE BILEO DIGESTIVA,"2.285,05"
416040128,PANCREATO DUODENECTOMIA,"4.942,21"
416050018,AMPUTACAO ABDOMINO PERINEAL DO RETO,"4.986,84"
416040039,ESOFAGECTOMIA,"4.746,86"
416030076,GLOSSECTOMIA TOTAL,"4.417,51"
416040047,ESOFAGOCOLOPLASTIA,"4.827,97"
416040110,PANCREATECTOMIA PARCIAL,"4.517,99"
416040144,RESSECCAO DE TUMOR RETROPERITONIAL COM RESSECCAO,"5.895,86"
416040055,ESOFAGOGASTRECTOMIA,"4.781,86"
416040071,GASTRECTOMIA TOTAL,"4.746,60"
416030033,EXCISAO DE TUMOR DE GLANDULA SUBLINGUAL,"983,15"
416050026,COLECTOMIA PARCIAL ( HEMICOLECTOMIA ),"1.944,94"
416040020,COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA,"1.651,14"
416030041,EXCISAO DE TUMOR DE GLANDULA SUBMAXILAR,"983,15"
416050034,COLECTOMIA TOTAL,"6.005,55"
416040101,HEPATECTOMIA PARCIAL,"1.935,27"
416030092,PAROTIDECTOMIA,"1.346,50"
416030025,EXTIRPACAO DE GLANDULA SALIVAR,"983,15"
416050050,EXCISAO DE TUMOR RETAL PER ANUS,"741,83"
416050077,RETOSSIGMOIDECTOMIA ABDOMINAL,"4.543,56"
409070157,BARTOLINECTOMIA,"742,04"
409070025,COLPECTOMIA,"805,12"
409060038,TRAQUELECTOMIA (AMPUTACAO CONIZACAO),"816,33"
409060232,SALPINGECTOMIA UNI OU BILATERAL,"1.013,10"
409060216,OOFORECTOMIA UNI OU BILATERAL,"1.067,76"
409060259,SALPINGOPLASTIA INCLUSIVE REIMPLANTACAO TUBARIA,"1.013,10"
409070033,COLPOCLEISE,"660,87"
409060240,SALPINGECTOMIA VIDEOLAPAROSCOPICA,"1.013,10"
409070041,COLPOPERINEOCLEISE,"482,86"
409060267,SALPINGOPLASTIA VIDEOLAPAROSCOPICA,"1.013,10"
409070190,MARSUPIALIZACAO DE GLANDULA DE BARTOLINI,"347,55"
409070076,COLPOPERINEORRAFIA NAO OBSTETRICA,"503,11"
409070092,COLPOPERINEORRAFIA NAO OBSTETRICA,"503,11"
409060046,CURETAGEM SEMIOTICA COM OU SEM DILATACAO DO COLO,"366,05"
409070297,VULVECTOMIA AMPLIADA COM LINFADENECTOMIA,"1.710,48"
409070084,COLPOPLASTIA ANTERIOR,"503,11"
409060275,TRAQUELOPLASTIA,"816,33"
409070300,VULVECTOMIA SIMPLES,"562,95"
409070068,COLPOPLASTIA POSTERIOR,"503,11"
409070033,OPERACAO DE LE FORT,"659,20"
409070220,TRATAMENTO CIRURGICO DA COAPTACAO DE NINFAS,"347,55"
409070050,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR,"822,90"
409060178,EXTIRPACAO DE POLIPO UTERINO,"366,05"
409070017,ALARGAMENTO DA ENTRADA VAGINAL,"347,55"
409070106,COLPOTOMIA,"465,48"
409060143,HISTERECTOMIA TOTAL AMPLIADA ( WERTHEIN-MEIGS ),"1.738,48"
409070157,EXERESE DE GLANDULA DE SKENE,"347,55"
409070246,TRATAMENTO CIRURGICO DA FISTULA URETRO VAGINAL,"1.216,77"
409060135,HISTERECTOMIA TOTAL,"1.518,50"
409070130,EPISIOPERINEORRAFIA NAO OBSTETRICA,"450,36"
409070238,TRATAMENTO CIRURGICO DA FISTULA RETO VAGINAL,"910,47"
409060127,HISTERECTOMIA SUBTOTAL,"1.280,45"
409070254,TRATAMENTO CIRURGICO DE FISTULA VESICO VAGINAL,"1.216,77"
409060194,MIOMECTOMIA,"1.072,15"
409070270,TRATAMENTO CIRURGICO DA INCONTINENCIA URINARIA POR,"988,47"
409060224,RESSECCAO DE VARIZES PELVICAS,"707,48"
409070114,CONSTRUCAO DE VAGINA,"1.304,40"
409060100,HISTERECTOMIA VAGINAL,"1.518,50"
409070211,RECONSTRUCAO DA VAGINA,"1.304,40"
409060119,HISTERECTOMIA COM ANEXECTOMIA UNI OU BILATERAL,"1.578,61"
409070289,TRATAMENTO CIRURGICO DA VAGINA SEPTADA OU ATRESICA,"1.329,95"
409070203,OPERACAO DE BURCH,"1.089,95"
409070149,EXERESE DE CISTO VAGINAL,"465,48"
409060054,CURETAGEM UTERINA POR MOLA HIDATIFORME,"366,05"
409060020,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR COM AMPU,"959,19"
409060208,MIOMECTOMIA VIDEOLAPAROSCOPICA,"1.127,12"
409060151,HISTERECTOMIA VIDEOLAPAROSCOPICA,"1.518,55"
409060186,LAQUEADURA TUBARIA,"1.013,10"
201010160,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UT,"119,96"
416060030,COLPECTOMIA,"1.010,76"
416060080,TRAQUELECTOMIA,"1.002,56"
416060021,OOFORECTOMIA UNI OU BILATERAL,"1.086,73"
416060056,HISTERECTOMIA COM RESSECCAO DE ORGAO(S) CONTIGUO(,"4.725,02"
416060099,VULVECTOMIA AMPLIADA COM LINFADENECTOMIA,"4.656,70"
416060102,VULVECTOMIA SIMPLES,"1.003,57"
416060064,HISTERECTOMIA TOTAL AMPLIADA,"4.517,68"
416060013,AMPUTACAO CONICA DE COLO DE UTERO COM COLPECTOMI,"1.378,09"
310010039,PARTO NORMAL,"973,90"
310010039,PARTO COM MANOBRAS,"973,90"
310010039,PARTO COM ECLAMPSIA,"973,90"
310010047,PARTO COM ECLAMPSIA,"973,90"
411020048,CIRURGIA DA PRENHEZ ECTOPICA,"1.138,53"
411010034,CESARIANA,"1.445,75"
206010010,HISTERECTOMIA PUERPERAL,"1.518,50"
206010028,HISTERECTOMIA PUERPERAL,"1.518,50"
206010036,HISTERECTOMIA PUERPERAL,"1.518,50"
411020030,HISTERECTOMIA PUERPERAL,"1.518,50"
206020031,LAPAROTOMIA PARA HISTERORRAFIA,"881,91"
409060160,LAPAROTOMIA PARA HISTERORRAFIA,"881,91"
206030010,EMBRIOTOMIA,"973,89"
411020021,EMBRIOTOMIA,"973,89"
411020013,CURETAGEM POS ABORTO,"391,85"
411010085,TRATAMENTO CIRURGICO DA INVERSAO UTERINA AGUDA PO,"1.087,67"
411010050,REDUCAO MANUAL INVERSAO UTERINA AGUDA POS-PARTO,"391,85"
411010018,DESCOLAMENTO MANUAL DA PLACENTA,"391,85"
409060011,CERCLAGEM DO COLO UTERINO,"391,85"
411010077,SUTURA DE LACERACOES DO TRAJETO PELVICO,"391,85"
310010039,PARTO NORMAL - EXCLUSIVAMENTE PARA HOSPITAIS AMIGO,"1.157,65"
411010034,CESARIANA - EXCLUSIVAMENTE PARA HOSPITAIS AMIGOS DA,"1.322,94"
310010047,PARTO NORMAL EM GESTANTE DE ALTO RISCO,"1.339,12"
411010026,CESARIANA EM GESTANTE DE ALTO RISCO,"1.519,35"
310010039,PARTO NORMAL SEM DISTOCIA REALIZADO POR ENFERMEIRO,"833,88"
411010042,CESARIANA COM LAQUEADURA TUBARIA EM PACIENTE COM,"1.380,54"
411010042,CESARIANA COM LAQUEADURA TUBARIA EM PACIENTE COM,"1.380,54"
411010042,CESARIANA COM LAQUEADURA TUBARIA EM PACIENTE COM,"1.380,54"
310010039,ASSIST AO PERIODO PREMONITORIO E AO PARTO NORMAL S,"342,81"
310010039,ASSISTENCIA AO PERIODO PREMONITORIO E AO PARTO NOR,"365,86"
409060070,ESVAZIAMENTO UTERINO POS ABORTO POR ASPIRACAO MAN,"218,45"
405050011,CAPSULECTOMIA DO CRISTALINO,"452,00"
405040067,ENUCLEACAO DO GLOBO OCULAR,"580,35"
405050054,CICLODIALISE,"580,22"
405020023,TRATAMENTO CIRURGICO DO ESTRABISMO,"636,96"
405010036,DACRIOCISTORRINOSTOMIA,"789,46"
405040075,EVISCERACAO DO GLOBO OCULAR,"580,35"
405040083,EXENTERACAO DE ORBITA,"1.129,24"
